    ,nome                                     ,qtde   ,unidade ,vl_unit ,vl_total ,conta_despesa                                       ,data_transacao
 53 ,HOT POCKET SADIA X BURGUER 145GR         , 1.0   ,UN      ,  6.29  ,    6.29 ,SUPERMERCADOS FESTVAL                               ,18/02/2022 20:50:11
 54 ,SUCO FESTVAL LARANJA 900ML               , 1.0   ,UN      ,  5.99  ,    5.99 ,SUPERMERCADOS FESTVAL                               ,25/02/2022 17:40:40
 55 ,COUSCOUS ITA.PAGANINI 500GR              , 1.0   ,UN      , 16.98  ,   16.98 ,SUPERMERCADOS FESTVAL                               ,25/02/2022 17:40:40
 56 ,CHOC.KINDER BUENO 2UN                    , 1.0   ,UN      ,  7.69  ,    7.69 ,SUPERMERCADOS FESTVAL                               ,08/03/2022 20:30:54
 57 ,REFRIG COCA COLA PET 1                   , 1.0   ,UN      ,  5.69  ,    5.69 ,FADALEAL SUPERMERCADOS LTDA                         ,28/02/2022 20:27:58
 58 ,SUCO FESTVAL LARANJA 900ML               , 1.0   ,UN      ,  7.99  ,    7.99 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 59 ,PAO INTEGRAL FESTVAL 500GR               , 1.0   ,UN      ,  7.99  ,    7.99 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 60 ,PAO DE QUEIJO KG                         , 0.196 ,KG      , 49.9   ,    9.78 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 61 ,PAO FRANCES KG                           , 0.401 ,KG      , 12.99  ,    5.2  ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 62 ,CR.DENTAL ORAL-B 123 70GR                , 1.0   ,UN      ,  3.89  ,    3.89 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
 63 ,CR.DENTAL ORAL-B 123 70GR                , 1.0   ,UN      ,  3.89  ,    3.89 ,SUPERMERCADOS FESTVAL                               ,26/03/2022 08:49:51
